ID,address,career_objective,skills,educational_institution_name,degree_names,passing_years,educational_results,result_types,major_field_of_studies,professional_company_names,company_urls,start_dates,end_dates,related_skils_in_job,positions,locations,responsibilities,extra_curricular_activity_types,extra_curricular_organization_names,extra_curricular_organization_links,role_positions,languages,proficiency_levels,certification_providers,certification_skills,online_links,issue_dates,expiry_dates,﻿job_position_name,educationaL_requirements,experiencere_requirement,age_requirement,responsibilities.1,skills_required
1,,Big data analytics working and database warehouse manager with robust experience in handling all kinds of data. I have also used multiple cloud infrastructure services and am well acquainted with them. Currently in search of role that offers more of development.,"['Big Data', 'Hadoop', 'Hive', 'Python', 'Mapreduce', 'Spark', 'Java', 'Machine Learning', 'Cloud', 'Hdfs', 'YARN', 'Core Java', 'Data Science', 'C++', 'Data Structures', 'DBMS', 'RDBMS', 'Informatica', 'Talend', 'Amazon Redshift', 'Microsoft Azure']","['The Amity School of Engineering & Technology (ASET), Noida']",['B.Tech'],['2019'],['N/A'],[None],['Electronics'],['Coca-COla'],[None],['Nov 2019'],['Till Date'],[['Big Data']],['Big Data Analyst'],['N/A'],"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,,,,,,,,,,,Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,3 to 5 years,Age at most 40 years,"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",
2,,Graduating Ph.D. candidate with a research focus on developing large-scale computational models using statistics and machine learning approach. Interested in a career as a computational scientist or quantitative software developer.,"['Air Force', 'ANSYS', 'approach', 'C', 'CAD', 'decision-making', 'designing', 'experimentation', 'Experiments', 'features', 'FORTRAN', 'instructor', 'lesson planning', 'machining', 'marketing', 'Materials', 'MATLAB', 'Mechanical Design', 'Microsoft Office', 'Modeling', 'NASTRAN', 'enterprise', 'OS', 'optimization', 'PATRAN', 'camera', 'physics', 'predict', 'Process Control', 'Research', 'research and design', 'robotic', 'Solidworks', 'Statistical Process Control', 'teaching']","['Arizona State University', 'Arizona State University']","['Doctor of Philosophy', 'Master of Science']","['Dec 2016', 'December 2013']","['3.9/4.0', '4.0/4.0']","['GPA', 'GPA']","['Mechanical Engineering', 'Mechanical Engineering']","['Company Name', 'Company Name', 'N/A']","[None, None, None]","['01/2013', '07/2011', '01/2011']","['Current', '08/2011', '01/2013']","[None, None, None]","['N/A', 'Thermal Engineering Intern', 'Researcher']","['City, State', 'City', 'City, State']","Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",,,,,,,,,,,,Senior Software Engineer,B.Sc in Computer Science & Engineering from a reputed university.,At least 1 year,,"Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",
3,,"A Fresher Seeking Roles In Machine Learning, Business Analysis, Data Predictive Modelling, Statistical Solutions, Data Mining.","['Predictive Modelling', 'Statistical Solutions', 'Data Mining', 'Artificial Intelligence', 'Forecasting', 'Data Analyst', 'Related Skills']",['GODAVARI INSTITUTE OF ENGINEERING AND TECHNOLOGY'],['B.Tech (Mechanical)'],['2018'],['N/A'],['N/A'],['Mechanical'],['LT Solutions'],['N/A'],['Jan 2019'],['Oct 2020'],"[['Machine Learning', 'Data Analysis']]",['Machine Learning and Data Analysis Associate'],['N/A'],"Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration",['Part-time Program'],['N/A'],[None],['Data Science and Bigdata'],,,,,,,,Project Coordinator (Civil),•Bachelor of Business Administration (BBA) in Human Resource Management,5 to 10 years,Age 30 to 40 years,"Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration","Auto CAD 2D 3D
Civil 3D
Civil Construction
Civil Engineering"
4,,I am a software engineer who has worked on several computer vision projects and their end to end deployment. I am looking to join as a Machine Learning developer to closely work on problems and increase my grasp over the domain.,"['Software Engineer/Developer', 'Software Development', 'Project Management', 'Machine Learning', 'Computer Vision', 'OpenCV', 'Python', 'C++', 'Ruby', 'Learning Algorithm']","['DVR College of Engineering & Technology', 'CDAC Noida']","['B.Tech', 'Post Graduation']","['2017', '2019']","['N/A', 'N/A']","['N/A', 'N/A']","['Electronics & Computers', 'Software Development']",['Eximius Design Pvt ltd'],['N/A'],['Apr 2019'],['Till Date'],"[['Software Development', 'Deployment', 'Face Identification', 'Face Alignment', 'Landmark Detection', 'Image Manipulation']]",['Software Development and Deployment Engineer'],['N/A'],"15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws","['Scalable Projects and their Deployment', 'Workshop']","['SDLC Pioneers', 'KVCC']","[None, None]","['N/A', 'Deployment of End to End ML Projects']",,,,,,,,Head of Internal Control & Compliance (ICC) - SEVP/DMD,"Masters, Master of Business Administration (MBA), Master of Business Management (MBM)",At least 15 years,Age at most 52 years,"15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws","AUDIT AND INSPECTION
Banking
Internal Audit"
5,,,"['Data Analysis', 'Data Analytics', 'Linear Regression', 'Logistic Regression', 'Predictive Modeling', 'Business Analytics']","['HiiT College, Goa']",['B.Tech'],['2019'],['N/A'],['N/A'],['Electrical and Electronics'],"['iNyra Nursing Home', 'Caribo Hotels & Casinos']","['N/A', 'N/A']","['Jul 2019', 'Dec 2018']","['Oct 2020', 'May 2019']","[['Data Analysis', 'Predictive Modeling'], ['Data Analytics', 'Logistic Regression']]","['Associate Medical Analyst', 'Junior Data Engineer']","['N/A', 'N/A']","Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",,,,,,,,,,,,Executive/ Sr. Executive -IT,Bachelor of Science (BSc) in Computer Science & Engineering,3 to 5 years,Age at most 40 years,"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",
6,,,"['Microsoft Office (Word, Excel, Power Point, Outlook)', 'Abila MIP Fund Accounting Software', 'QuickBooks, QuickBooks Pro, Quicken', 'ADP, Paychex, Payroll Experts, QuickBooks Payroll Systems']",['Arizona State University'],['Bachelor of Science'],['N/A'],['N/A'],['N/A'],['Business Management'],"['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['08/2012', '08/2008', '02/2007', '05/2002']","['Current', '08/2012', '06/2010', '02/2007']","[['Financial statement analysis', 'Account reconciliation', 'General ledger accounting', 'Time management', 'Organizational skills', 'Process Receivables', 'Process Retail Sales Revenue', 'Monthly financial statements and budget analysis', 'Monthly bank reconciliations', 'Prepare monthly Use Tax returns', 'General Ledger review', 'Streamline Procedures', 'Accounts Payable'], ['QuickBooks, QuickBooks Pro, Quicken', ""Worker's Compensation Audits"", 'Payroll functions', 'Sales Tax Reporting', 'Financial Statement Preparation', 'Bank Statement Reconciliations'], ['Accounts Receivable', 'Monthly billing', 'Accounts Payable verification', 'Payroll processing', 'Employee benefits management', 'COBRA documentation', 'Accounting duties'], ['Accounting Department management', 'Financial statement production', 'Payroll processing', 'Payroll tax reporting', 'Software implementation', 'Employee benefits program', 'Recruitment', 'Personnel management']]","['Staff Accountant', 'Independent Accounting Consultant', 'Accounting Manager/Human Resources', 'Accounting and Human Resources Manager']","['City , State', 'City , State', 'City , State', 'City , State']","Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",,,,,,,,,,,,HR Officer,"•Bachelor of Business Administration (BBA) in Human Resource Management
•BBA/MBA in HRM/Management from any reputed university.",,Age 18 to 30 years,"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",Human Resource Management
7,,,"['Microsoft Project', 'Microsoft Office', 'Microsoft Visio', 'IBM Rationale DOORS', 'Communication/Presentations', 'Risk Analysis', 'Process Improvement', 'CMPro', 'Air Force', 'budget', 'Hardware', 'Conflict Management', 'continuous improvement', 'DC', 'delivery', 'DOORS', 'electrical engineering', 'electrical systems', 'Engineer', 'Estimating', 'senior management', 'functional', 'drawing', 'Hardware Design', 'IBM', 'Leadership', 'Team Leadership', 'Leadership Development', 'Materials', 'mechanical', 'mechanical engineering', 'Microsoft Visio', 'Navy', 'peer review', 'power distribution', 'power supplies', 'Presentations', 'Process Improvement', 'procurement', 'producing', 'Project Management', 'Project Planning', 'proposals', 'quality', 'Risk Analysis', 'schematics', 'Siemens', 'software engineering', 'staffing', 'Systems Engineering', 'video']","['Indiana University', 'University of Evansville', 'Villanova University']","['Master of Business Administration', 'Bachelor of Science', 'Project Management Graduate Certificate']","[None, None, None]","[None, None, None]","[None, None, None]","[None, 'Electrical Engineering', None]","['Company Name', 'Company Name', 'Company Name', None]","[None, None, None, None]","['03/2015', '08/2008', '05/2005', '11/2001']","['Current', '03/2015', '08/2008', '05/2005']","[['Leadership', 'Project Management', 'Systems Engineering', 'Process Improvement', 'Risk Analysis', 'Communication/Presentations'], ['Project Management', 'Hardware Solutions', 'Leadership', 'Communication/Presentations', 'Systems Engineering'], ['Electrical Engineering', 'Leadership', 'Cost Savings', 'Process Improvement', 'Project Management'], ['Electrical Systems', 'Design', 'Cost Savings', 'Process Improvement', 'Project Management']]","['Multi-Skilled Engineering Manager', 'Lead Systems Engineer', 'Lead Electrical Engineer', 'Electrical Engineer']","['City, State', 'City, State', 'City, State', None]","Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation",,,,,,,,,,,,Mechanical Designer,Bachelor’s degree in Mechanical Engineering from a reputed institute.,At least 5 years,Age at least 24 years,"Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation","AutoCAD
Solidworks"
8,,Currently seeking opportunities as an Analyst as well as Machine Learning Engineer.,"['Data science', 'Deep learning', 'Neural networks', 'Artificial intelligence', 'Machine learning', 'Regression Analysis', 'Data structures', 'Embedded C', 'Microcontroller', 'Arduino', 'Network Management']","['Cummins College of Engineering, Pune']",['B.Tech'],['2018'],['N/A'],['N/A'],['N/A'],['Tata Sons'],['N/A'],['Mar 2018'],['Aug 2020'],"[['Data science', 'Deep learning', 'Neural networks', 'Artificial intelligence', 'Machine learning', 'Regression Analysis', 'Data structures', 'Embedded C', 'Microcontroller', 'Arduino', 'Network Management']]",['Analyst'],['N/A'],"Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification",['Award'],['L&T'],['N/A'],"['Junior Engineer Award L&T, Best Solution Provided L&T']",,,,,,,,Sr.Officer / Executive - Internal Audit,"Master of Commerce (MCom) in Accounting, Must have CACC certification from any CA firm",2 to 4 years,,"Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification","Having CACC from reputed CA Firm
Internal Audit and Compliance"
9,,,"['Accounting operations', 'Complex problem solving', 'Effective time management', 'Strong organizational skills', 'General ledger accounting', 'Account reconciliation expert', 'Flexible team player', 'Strong communication skills', 'NetSuite', 'Epicor', 'Sage', 'Quickbooks', 'Office Master System', 'Peachtree', 'GLACIER Tax Prep', 'Intuit Payroll', 'ChasePaymentech', 'Word', 'Excel', 'Outlook']","['Ball State University', 'Ball State University']","['Master of Science', 'Bachelor of Science']","['2012', '2010']","['3.5', '3.2']","['GPA', 'GPA']","['Accounting', 'Business Administration']","['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['August 2013', 'May 2012', 'August 2011', 'January 2010']","['Current', 'July 2013', 'May 2012', 'April 2010']","[['General ledger', 'Payroll', 'Financial performance', 'Bank reconciliations', 'Cost accounting'], ['Financial analysis', 'Internal controls', 'Cost accounting', 'ERP software'], None, None]","['Senior Accountant', 'Corp. Accountant', 'Graduate Assistant of Economic Department', 'Income Tax Preparer']","['City, State', 'City, State', 'City, State', 'City, State']","Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",,,,,"['English', 'Mandarin', 'Cantonese']","['Fluent', 'Fluent', 'Fluent']","['Internal Revenue Service, Department of the Treasury']",[None],[None],['N/A'],[None],Marketing Officer,Bachelor/Honors,At least 1 year,,"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO","Corporate Marketing
Facebook Ads Manager
Facebook campaign
Facebook marketing
Google Ads
Google analytics
Market Researc
Marketing
Search Engine Optimization (SEO)"
10,,,"['API', 'Approach', 'ATL', 'audio', 'backup', 'broadcast', 'C++', 'CLI', 'com', 'CA', 'Hardware', 'concept', 'Content', 'clients', 'documentation', 'dynamic HTML5', 'editing', 'XML', 'FTP', 'functional', 'drawing', 'GUI', 'http', 'IDs', 'Innovation', 'explorer', 'IP', 'JavaScript', 'json', 'LAN', 'MB', 'C#', 'MFC', 'office', 'Win', 'Windows', '2000', 'migration', 'NAS', 'OOP', 'page', 'Proxy', 'rendering', 'SAN', 'Scrum', 'servers', 'specification', 'team management', 'threads', 'troubleshoot', 'Video', 'Video Editing', 'Visual C++', 'workflow', 'writer']","['Illinois Institute of Technology', 'National Institute of Technology']","['M.S', 'B.E']","['N/A', 'N/A']","['N/A', 'N/A']","['N/A', 'N/A']","['Computer Science', 'Electronics and Communication Engineering']","['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['September 2009', 'November 2005', 'August 1997', 'August 1994']","['Current', 'August 2009', 'October 2005', 'July 1997']","[['Visual C++', 'Windows', 'STL', 'OOP', 'MFC', 'threads', 'file maps', 'ATL', 'IPC', 'FTP', 'TCP', 'HTTP', 'XML', 'JSON', 'services', 'web services', 'REST API', 'SOA', 'media formats and standards', 'codec SDK and integration', 'MPEG-DASH', 'API design and documentation'], ['team management', 'development process document', 'peer code review', 'crash dump analysis'], ['C++', 'Win32', 'threads', 'GUI'], ['Project media management tools', 'Render Bank', 'video effects']]","['Software Engineering Manager', 'Software Engineering Manager', 'Principal Software Engineer', 'Software Engineer']","['City , State', 'City , State', 'City , State', 'City , State']","Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",,,,,,,,,,,,Intern (Generative AI Engineering - 2D/3D Image Generation),Bachelor of Science (BSc),,Age 20 to 35 years,"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",
